Checking Euc20 1000000 random points, query radius = 0.6017460044834176
D	angle(deg)	stdev	in range
1.06	95.7	12.51	476331
1.07	95.43	12.53	494752
1.08	95.22	12.57	510903
1.09	94.97	12.61	526214
1.1	94.76	12.66	542834
1.11	94.55	12.69	558753
1.12	94.31	12.72	574408
1.13	94.11	12.74	588761
1.14	93.91	12.77	605043
1.15	93.72	12.81	619780
1.16	93.56	12.84	635265
1.17	93.39	12.86	649200
1.18	93.17	12.87	663561
1.19	93.07	12.9	677033
1.2	92.9	12.93	692283
1.21	92.71	12.94	705506
1.22	92.6	12.97	718546
1.23	92.47	12.99	729633
1.24	92.35	12.98	742905
1.25	92.23	12.99	755397
1.26	92.12	13.01	765721
1.27	92.01	13.03	778639
1.28	91.9	13.02	788437
1.29	91.79	13.04	799102
1.3	91.71	13.04	809085
1.31	91.59	13.06	819509
1.32	91.48	13.08	828002
1.33	91.41	13.08	837323
1.34	91.31	13.08	846983
1.35	91.25	13.1	855161
1.36	91.21	13.09	862220
1.37	91.1	13.1	871011
1.38	91.07	13.1	877668
1.39	90.98	13.1	885086
1.4	90.95	13.13	891447
1.41	90.88	13.11	898084
1.42	90.84	13.13	904140
1.43	90.8	13.13	909673
1.44	90.73	13.13	915502
1.45	90.69	13.13	920620
1.46	90.65	13.12	925521
1.47	90.61	13.12	930436
1.48	90.56	13.13	934165
1.49	90.52	13.14	939239
1.5	90.5	13.12	942891
1.51	90.46	13.13	946798
1.52	90.43	13.14	950014
1.53	90.41	13.13	953625
1.54	90.34	13.13	956750
1.55	90.33	13.14	959765
1.56	90.32	13.14	962475
1.57	90.3	13.14	965119
1.58	90.29	13.13	967793
1.59	90.27	13.13	970288
1.6	90.25	13.13	972113
1.61	90.25	13.13	974229
1.62	90.22	13.13	976102
1.63	90.18	13.14	978019
1.64	90.17	13.12	979794
1.65	90.15	13.14	981253
1.66	90.14	13.13	982990
1.67	90.12	13.15	984232
1.68	90.14	13.15	985425
1.69	90.15	13.15	986857
1.7	90.11	13.15	987760
1.71	90.1	13.15	988912
1.72	90.11	13.15	989812
1.73	90.08	13.15	990561
1.74	90.08	13.14	991509
1.75	90.07	13.13	992010
1.76	90.05	13.12	992704
1.77	90.08	13.14	993495
1.78	90.05	13.14	994098
1.79	90.06	13.16	994527
1.8	90.04	13.13	995152
1.81	90.03	13.15	995648
1.82	90.04	13.13	996042
1.83	90.04	13.13	996494
1.84	90.02	13.15	996738
1.85	90.02	13.14	997078
1.86	90.04	13.15	997520
1.87	90	13.13	997720
1.88	90.01	13.15	997952
1.89	90.02	13.13	998161
1.9	90	13.14	998317
1.91	90.01	13.13	998458
1.92	90.02	13.13	998723
1.93	90.01	13.14	998797
1.94	90.01	13.15	998945
1.95	90.03	13.16	999075
1.96	90.01	13.15	999195
1.97	90.01	13.13	999301
1.98	89.99	13.13	999393
1.99	90.02	13.13	999504
2	90.01	13.14	999496
2.01	89.99	13.13	999552
2.02	90	13.15	999634
2.03	89.98	13.13	999681
2.04	90.03	13.12	999712
2.05	89.99	13.15	999754
2.06	90.01	13.14	999779
2.07	90.02	13.14	999823
2.08	89.97	13.13	999842
2.09	89.99	13.13	999857
2.1	90	13.13	999893
2.11	90	13.13	999920
2.12	89.98	13.15	999907
2.13	90.02	13.15	999923
2.14	90.01	13.15	999947
2.15	90	13.13	999953
2.16	90.02	13.13	999960
2.17	90	13.13	999968
2.18	90.01	13.13	999960
2.19	89.99	13.12	999973
2.2	89.98	13.14	999977
2.21	90.01	13.14	999981
2.22	90	13.14	999983
2.23	90	13.14	999980
2.24	90	13.13	999982
2.25	90	13.13	999977
2.26	90.01	13.14	999983
2.27	90	13.14	999978
2.28	89.99	13.15	999980
2.29	90	13.13	999977
2.3	90	13.15	999962
2.31	89.98	13.14	999964
2.32	90	13.15	999955
2.33	90.01	13.14	999947
2.34	90	13.13	999940
2.35	90	13.15	999921
2.36	90	13.15	999906
2.37	89.99	13.13	999900
2.38	89.99	13.14	999859
2.39	89.98	13.14	999840
2.4	90	13.13	999828
2.41	90	13.16	999800
2.42	90	13.15	999786
2.43	90	13.14	999757
2.44	90	13.13	999699
2.45	90.01	13.14	999628
2.46	89.99	13.12	999610
2.47	89.98	13.15	999541
2.48	90	13.13	999419
2.49	89.98	13.14	999389
2.5	90.01	13.14	999292
2.51	89.98	13.14	999169
2.52	89.99	13.12	999142
2.53	89.99	13.15	998957
2.54	89.99	13.14	998896
2.55	89.97	13.14	998767
2.56	89.97	13.15	998603
2.57	89.99	13.14	998401
2.58	90.03	13.13	998172
2.59	89.99	13.14	997994
2.6	89.97	13.15	997655
2.61	89.98	13.14	997401
2.62	89.96	13.13	997112
2.63	90	13.14	996914
2.64	89.96	13.14	996545
2.65	89.99	13.13	996155
2.66	89.95	13.13	995726
2.67	89.94	13.14	995278
2.68	89.93	13.14	994847
2.69	89.93	13.15	994028
2.7	89.93	13.13	993554
2.71	89.94	13.13	993045
2.72	89.9	13.15	992394
2.73	89.91	13.13	991680
2.74	89.89	13.14	990694
2.75	89.92	13.14	990157
2.76	89.91	13.15	988938
2.77	89.89	13.14	988141
2.78	89.88	13.14	987006
2.79	89.87	13.14	985670
2.8	89.85	13.15	984191
2.81	89.85	13.14	983118
2.82	89.81	13.15	981740
2.83	89.84	13.15	980215
2.84	89.8	13.13	978547
2.85	89.82	13.13	976690
2.86	89.79	13.14	974673
2.87	89.78	13.14	972502
2.88	89.74	13.13	970605
2.89	89.71	13.14	968454
2.9	89.72	13.15	965610
2.91	89.7	13.12	963320
2.92	89.65	13.13	960866
2.93	89.64	13.14	957605
2.94	89.61	13.15	954052
2.95	89.58	13.14	951180
2.96	89.55	13.13	947592
2.97	89.55	13.13	943850
2.98	89.46	13.15	939544
2.99	89.44	13.14	936031
3	89.41	13.12	931108
3.01	89.36	13.12	926730
3.02	89.34	13.13	921522
3.03	89.28	13.11	916067
3.04	89.26	13.11	910978
3.05	89.22	13.13	905208
3.06	89.1	13.12	899532
3.07	89.1	13.11	892682
3.08	89.01	13.1	886474
3.09	88.94	13.1	879009
3.1	88.9	13.1	871772
3.11	88.81	13.09	864179
3.12	88.76	13.08	856153
3.13	88.69	13.07	848786
3.14	88.59	13.07	839216
3.15	88.5	13.09	830380
3.16	88.43	13.04	821377
3.17	88.34	13.05	811129
3.18	88.24	13.05	801712
3.19	88.15	13.04	791717
3.2	88.03	13.02	780133
3.21	87.92	13.01	769553
3.22	87.81	13	757459
3.23	87.72	13	745108
3.24	87.56	12.99	733318
3.25	87.43	12.96	721658
3.26	87.25	12.94	707465
3.27	87.17	12.92	694476
3.28	86.96	12.91	681132
3.29	86.84	12.89	667370
3.3	86.67	12.87	652412
3.31	86.5	12.85	638380
3.32	86.28	12.8	623321
3.33	86.13	12.78	608500
3.34	85.95	12.74	592756
3.35	85.72	12.72	576792
3.36	85.54	12.7	561926
3.37	85.33	12.66	545668
3.38	85.07	12.63	530104
3.39	84.87	12.56	513411
3.4	84.61	12.54	498005
3.41	84.37	12.49	480380
3.42	84.11	12.47	463922
3.43	83.8	12.39	448534
3.44	83.58	12.33	432699
3.45	83.3	12.31	416408
3.46	83.01	12.24	400830
3.47	82.69	12.18	383722
3.48	82.42	12.1	368741
3.49	82.07	12.05	352215
3.5	81.75	12.01	336881
3.51	81.41	11.9	321565
3.52	81.11	11.83	307370
3.53	80.74	11.76	292365
3.54	80.41	11.71	278321
3.55	80.04	11.62	263905
3.56	79.7	11.55	251170
3.57	79.28	11.48	238074
3.58	78.92	11.39	224630
3.59	78.53	11.27	212473
3.6	78.18	11.22	200528
3.61	77.77	11.12	188756
3.62	77.37	11.05	177413
3.63	76.96	10.96	166785
3.64	76.54	10.87	155875
3.65	76.14	10.83	146641
3.66	75.7	10.71	137044
3.67	75.29	10.59	127848
3.68	74.8	10.5	118349
3.69	74.44	10.47	110259
3.7	74.02	10.37	102234
3.71	73.48	10.28	95337
3.72	73.08	10.17	88489
3.73	72.72	10.06	81829
3.74	72.28	9.99	75747
3.75	71.85	9.88	69773
3.76	71.32	9.77	64532
3.77	70.85	9.71	58915
3.78	70.46	9.65	54480
3.79	69.89	9.52	49654
3.8	69.46	9.42	45570
3.81	69.05	9.31	41733
3.82	68.42	9.25	37759
3.83	68.06	9.14	34769
3.84	67.64	9.13	31660
3.85	67.15	9.01	28677
3.86	66.6	8.9	25841
3.87	66.21	8.74	23470
3.88	65.62	8.65	21519
3.89	65.17	8.61	18890
3.9	64.71	8.58	17193
3.91	64.12	8.43	15394
3.92	63.75	8.46	13948
3.93	63.35	8.28	12428
3.94	62.82	8.31	11250
3.95	62.44	7.98	9999
3.96	61.84	8.04	8968
3.97	61.34	7.95	7939
3.98	60.77	7.71	7047
3.99	60.02	7.79	6112
4	59.69	7.65	5429
4.01	59.25	7.63	4903
4.02	58.94	7.58	4238
4.03	58.34	7.31	3786
4.04	57.92	7.28	3256
4.05	57.66	7.36	2897
4.06	57.13	7.17	2469
4.07	56.36	6.97	2221
4.08	55.9	6.97	1984
4.09	55.44	7.15	1703
4.1	54.79	6.76	1430
4.11	54.2	6.87	1226
4.12	54.04	6.77	1087
4.13	53.35	6.83	978
4.14	52.6	6.43	773
4.15	52.2	6.57	695
4.16	51.93	6.78	592
4.17	51.5	6.37	511
4.18	50.95	6.14	432
4.19	50.33	6.12	360
4.2	49.62	6.87	344
4.21	50.04	6.07	285
4.22	48.79	6.54	223
4.23	48.39	5.81	185
4.24	46.8	5.42	157
4.25	47.17	6	123
4.26	46.83	5.62	99
4.27	46.59	5.1	87
4.28	45.96	5.47	74
4.29	45.26	4.68	43
4.3	42.52	6.07	43
4.31	43.39	5.13	29
4.32	42.6	5.85	28
4.33	43.25	4.84	31
4.34	42.49	5.42	15
4.35	40.88	3.45	21
4.36	41.45	4.28	21
4.37	41.19	4.12	9
4.38	41.45	3.58	9
4.39	40.58	7.2	11
4.4	39.17	5.18	10
4.41	38.65	3.43	7
4.42	38.31	3.33	3
4.43	40.3	2.33	2
4.44	35.77	2.75	3
Distance = 4.45 No points in 0-1 range
4.46	34.7	4.78	2
4.47	40.33	0	1
